id,codigo,nome,categoria,subcategoria,quantidade,unidade,valor_unitario
79f6744b-0636-4716-a61e-f5be04e9a6cf,GE-000065,CHAVE L 8MM,Ferramentas,Manuais,0,un,0
64dbc15d-829e-4f93-bd2f-f4d970982fe6,GE-000092,CHAVE PHILLIPS,Ferramentas,Manuais,8,un,0
b403b708-e294-4e9a-9a94-5e91999aeb6d,CHAVE-SECCIONADORA,Chave seccionadora,Painel elétrico,Chaves,0,un,0
3150eaee-3c24-4e81-98d6-ad67a7a23b43,CHAVE-SEL-2P-22MM,Chave seletora 2 posições 22 mm,Painel elétrico,Chaves,1,un,0
c7b9d8d6-d5b7-4d58-b200-250e4cc3eb1c,CHAVE-SEL-COM-22MM-2P-FIXA,Chave seletora comutador 22 mm - 2 posições fixa,Painel elétrico,Chaves,2,un,0
ad59e9e6-a60d-4a5d-905d-f518f6e6534e,GE-000091,CHAVE TORQ/CABO,Elétrica,Motores,4,un,0
e05cb2c3-87ae-449b-917b-e681b8f19cf5,BORNE-SIMPLES-250MM,"Conector borne simples 2,50 mm²",Painel elétrico,Bornes e conectores,117,un,0
90400daa-0513-4ce4-be44-919783535db4,BORNE-TERRA-250MM,"Conector borne terra simples 2,50 mm²",Painel elétrico,Bornes e conectores,1,un,0
8a22a8f3-6a5d-4251-942e-2aa6b57748c0,CONTATO-NC,Contato NC,Painel elétrico,Contatos auxiliares,10,un,0
1c2d3400-4e75-415d-8f62-36e703b45454,CONTATO-NO,Contato NO,Painel elétrico,Contatos auxiliares,17,un,0
61d93578-92a6-40eb-ab41-d9386a30e488,CONTATORA-25A-24VCC,Contatora 25 A - bobina 24 V CC,Painel elétrico,Componentes elétricos,0,un,0
f89bdc04-d7d8-4ac4-9354-2b8272056d67,ITEM-COPO-DE-NYLON,COPO DE  NYLON,Consumíveis,Estopas,32,un,0
1a639d81-3859-4e67-ac9c-d7c72d895fee,DISJ-MOTOR-C-138A,"Disjuntor-motor termomagnético curva C - ajuste térmico de 13,8 A",Painel elétrico,Proteção elétrica,0,un,0
f0082ed0-8901-420f-a1ce-aee34b3568c4,GE-000083,ESPATULA,Ferramentas,Manuais,2,un,0
8c4370b1-4d32-43a8-bfdd-5524a245ed34,P3D-008,ESPELHO 2 PENEIRA DE 3 DECKS,Estruturas Metálicas,Proteções,0,un,0
aa10c186-d2a5-4963-a624-b1953ca17a3e,P3D-009,ESPELHO PENEIRA DE 3 DECKS,Estruturas Metálicas,Proteções,0,un,0
8b8161c3-48a9-484a-8083-04b1406b915b,GE-000081,ESQUADRO,Ferramentas,Manuais,2,un,0
9052283c-c548-482d-a12e-3f64e29f2103,GE-000078,ESQUADRO/NIVEL,Ferramentas,Manuais,2,un,0
208c6ce1-672a-412f-90e3-339fb0a13744,GE-000085,ESTILETE,Ferramentas,Manuais,2,un,0
d47514be-2b60-4940-a5f6-973ab18f4cd5,GE-000028,EXT. CACHIMBO,Ferramentas,Manuais,2,un,0
bf02b729-a63a-48ad-9ebe-0ec93635c2dd,GE-000118,EXTENSAO,Ferramentas,Manuais,4,un,0
f38dc78d-9dde-4a05-8320-5b57f76e59a0,P3D-010,FLANGE BICA FRONTAL PENEIRA DE 3 DECKS,Estruturas Metálicas,Suportes,0,un,0
496e6159-7d38-4795-bfa2-9d4ba487cff2,FONTE-24V-5A-SLIM,Fonte chaveada slim bivolt 24 V 5 A,Painel elétrico,Fonte,1,un,0
fc2b7736-d989-441d-b738-7b142141cbc9,GE-000098,FURADEIRA ELETRICA,Ferramentas,Manuais,1,un,0
7f5b7cc9-6fae-4e59-bc70-297ca618fb9e,GE-000116,FURADEIRA MAGNETICA,Ferramentas,Manuais,1,un,0
79a40f3a-cf6b-4f3a-9b33-4a7c81db3288,GE-000099,FURADEIRA-B,Ferramentas,Manuais,1,un,0
aa1aa3fc-11c6-4dc2-b0a7-b9d2962e3979,GE-000103,GRAMPEADEIRA,Ferramentas,Manuais,1,un,0
c1bf07da-a6af-4478-93c3-e92d97a04262,GE-000114,JOGO DE CAXIMBO DE TORQ,Ferramentas,Manuais,1,un,0
85bd39f0-2770-49df-b062-1cc9182182c1,GE-000089,JOGO DE CHAVE ALLEN,Ferramentas,Manuais,3,un,0
e660acf3-cd60-4fbf-8ca5-21b618f89549,GE-000088,JOGO DE CHAVE ALLEN POL,Ferramentas,Manuais,1,un,0
2e399e3a-f9a4-46bf-b7de-63d1acc4fb5d,GE-000087,JOGO DE CHAVE ALLEN TORQ,Ferramentas,Manuais,2,un,0
b3daa4ae-4ef1-465c-9154-cab8c56e21e2,GE-000079,JOGO DE SACA PINOS 2.5 AO 8,Fixadores,Parafusos,1,un,0
a547c5f2-c5ca-4564-8bd6-9960fdbb35a8,KIT-CONEC-OLHAL,Kit de conectores tipo olhal,Painel elétrico,Kits de conectores,0,kit,0
edb46dc9-57d1-4179-95a5-8ea2fadd0e4a,KIT-CONEC-TUB-DUPLOS,Kit de conectores tubulares duplos,Painel elétrico,Kits de conectores,0,kit,0
5765a5d9-0b3d-48b5-a87d-8640e68e1569,GE-000095,LIXADEIRA 4,Consumíveis,Lixas,2,un,0
db53eeb0-4ace-4f68-b254-f59ca3b21b69,GE-000119,LIXADEIRA 4 BATERIA,Consumíveis,Lixas,1,un,0
cbe05b77-e823-4bb0-85f8-45d0465fdc64,GE-000096,LIXADEIRA 7,Consumíveis,Lixas,1,un,0
96ec22c2-d6ae-4aa9-8474-777ad26e1a6e,GE-000106,MARRETA 4L,Ferramentas,Manuais,1,un,0
d905bf6b-1295-4938-ab83-a4a7ebca55d1,GE-000108,MARRETA GRANDE,Ferramentas,Manuais,1,un,0
0ee71bd5-9461-444d-8627-94319cfa90a4,GE-000107,MARRETA PQ,Ferramentas,Manuais,2,un,0
a1110fa7-bdc5-4783-9b64-383bb9e62919,GE-000120,MARTELE BOSCH,Ferramentas,Manuais,1,un,0
1d4f55fd-a939-473b-a71b-d2bd29a80e0e,MET-40-40-18,METALON 40x40 #1/8,Matéria-prima,Perfis,0,barra,0
3eb7ef47-5c80-4c18-9afa-d69c74bacf85,P3D-042,METALON 40X40 #1/8,Matéria-prima,Metalons,0,barra,0
ae060b46-b749-45a6-8021-11f197897519,MET-40-40-16,METALON 40x40 #16,Matéria-prima,Perfis,0,barra,0
bcd156e1-c431-4e92-8b24-fa6891b4aed9,P3D-043,METALON 40X40 #16,Matéria-prima,Metalons,0,barra,0
1240aa63-9886-4024-9403-438c340759e3,MET-50-50-14,METALON 50x50 #14,Matéria-prima,Perfis,0,barra,0
593a2d1c-50bd-4a09-95f5-d1b52216cbde,P3D-041,METALON 50X50 #14,Matéria-prima,Metalons,0,barra,0
0891aed3-3548-48b7-90f5-a02328a77fe8,MET-50-50-316,METALON 50x50 #3/16,Matéria-prima,Perfis,0,barra,0
78927bc5-04ef-404d-9514-471b5addaa69,P3D-040,METALON 50X50 #3/16,Matéria-prima,Metalons,0,barra,0
fb4f660f-65c5-4c7d-a00b-8966b59da96f,ITEM-2-60,MOLAS 2x60MM,Consumíveis,Estopas,0,un,0
dcf5f613-49f3-4058-a347-deb665d969bc,ITEM-5-110,MOLAS 5x110MM,Consumíveis,Estopas,42,un,0
a4000a21-c03a-45f7-8b56-4c15105ed2b1,ITEM-6-110,MOLAS 6x110MM,Consumíveis,Estopas,6,un,0
e560f297-76de-4e94-8cf3-8079705c641d,ITEM-7-110,MOLAS 7x110MM,Consumíveis,Estopas,0,un,0
f9b3d6ad-b853-4d96-a599-7abe13ee2a26,ITEM-8-110,MOLAS 8x110MM,Consumíveis,Estopas,2,un,0
5e2e4bac-af91-49e4-8718-1062a0be871b,P3D-011,NERVURA 1 BASE SILO,Estruturas Metálicas,Chassis,0,un,0
a5ffa152-dcac-4288-ad52-e70578239dfe,P3D-012,NERVURA 2 BASE SILO,Estruturas Metálicas,Chassis,0,un,0
5be382e2-7ced-4b09-a013-52a687f64ba2,P3D-013,NERVURA BASE DO MOTOR SILO PENEIRA DE 3 DECKS,Estruturas Metálicas,Chassis,0,un,0
3b25884e-d72a-4c51-b47b-f4227dae33d5,P3D-014,NERVURA BICA FRONTAL PENEIRA DE 3 DECKS,Estruturas Metálicas,Chassis,0,un,0
82713445-de76-4bc2-800c-cd54deadd12e,P3D-036,NERVURA CONJUNTO METALONS MOTOR - PENEIRA DE 3 DECKS,Estruturas Metálicas,Chassis,0,un,0
18d54459-cbce-4dcd-b706-6e8cff40f384,P3D-035,NERVURA METALON 40X40 PENEIRA DE 3 DECKS,Estruturas Metálicas,Chassis,0,un,0
8dd5a554-4522-41aa-8f70-087f626befa6,P3D-015,NERVURA SUPORTE BICAS INFERIOR - PENEIRA DE 3 DECKS,Estruturas Metálicas,Chassis,0,un,0
733e52ce-441c-43cc-83ba-7174b8731f9e,P3D-016,NERVURA SUPORTE BICAS PENEIRA DE 3 DECKS,Estruturas Metálicas,Chassis,0,un,0
a0f6a44a-ebc1-420b-8090-39e5954dbbe3,P3D-017,NERVURA SUSTENTAÇÃO CHAPA MOTOR MAIOR PENEIRA DE 3 DECKS,Estruturas Metálicas,Chassis,0,un,0
06d42db3-e3a3-4c3f-8048-a268427d8fd3,P3D-018,NERVURA SUSTENTAÇÃO MOTOR PENEIRA DE 3 DECKS,Estruturas Metálicas,Chassis,0,un,0
af6dd0af-64de-4fe2-bb50-4aecb818328f,P3D-019,NERVURA TRAVA SUPERIOR ESTRUTURA - PENEIRA DE 3 DECKS,Estruturas Metálicas,Chassis,0,un,0
e580b1a0-2044-4cc7-8539-315c1c21ade7,GE-000097,PARAFUSADEIRA,Ferramentas,Manuais,1,un,0
b00eb293-c749-4dde-9bd1-056b7ff86105,GE-000100,PARAFUSADEIRA 220V,Ferramentas,Manuais,1,un,0
126d2a39-c208-4c71-8ca5-e8c6d0643727,FIX-6-25,PARAFUSO ALLEN M6X25MM,Fixadores,Parafusos,0,un,0
6cb1369e-3393-44b9-9b05-19035ab1dc6f,P3D-050,PARAFUSO M10 X 20MM,Fixadores,Parafusos,0,un,0
0fd114ef-2f09-4f90-821e-2f0a7f6193a3,P3D-052,PARAFUSO M10 X 30MM,Fixadores,Parafusos,0,un,0
1c7e8cc3-27ff-4a71-a7dd-d07488bf98d9,P3D-051,PARAFUSO M10 X 90MM,Fixadores,Parafusos,0,un,0
c0c958e2-5759-408e-b51c-85c0df9f7759,P3D-048,PARAFUSO M6 X 25MM,Fixadores,Parafusos,0,un,0
9995fa87-1623-4d82-a13b-5ef2f2fd46f2,P3D-049,PARAFUSO M8 X 25MM,Fixadores,Parafusos,0,un,0
66f61fd6-d68a-4edb-a8ed-a068ee3f012f,P3D-029,PARTE 1 SILO PENEIRA DE 3 DECKS,Estruturas Metálicas,Proteções,0,un,0
446b5de6-1231-40d9-b84a-566a96217344,P3D-030,PARTE 2 SILO PENEIRA DE 3 DECKS,Estruturas Metálicas,Proteções,0,un,0
b07b823d-80ff-4aaf-8738-201b354f044c,P3D-031,PARTE 3 SILO PENEIRA DE 3 DECKS,Estruturas Metálicas,Proteções,0,un,0
ad8dada1-5f7e-4bdf-ab3d-9caa075bd101,P3D-032,PARTE 4 SILO PENEIRA DE 3 DECKS,Estruturas Metálicas,Proteções,0,un,0
722961d9-8c91-48ee-8f00-4757d9361ba7,PLACA-PAINEL-220V-NR10-NR12,Placa adesiva para painel elétrico - tensão 220 V NR10/NR12,Painel elétrico,Placas e identificação,0,un,0
